"Ly8_cas9_11"	"Ly8_cas9_3"	"Ly8_cas9_6"	"Ly8_het_A9"	"Ly8_het_G10"	"Ly8_het_G5"	"Ly8_KO_G6"
"NDUFAF7"	86.5018535925471	79.077603043335	76.4501768097059	113.627602777099	97.9177196381629	92.61363454208	91.629377303855
"RBM5"	215.453690892548	196.173284472889	176.563503584321	239.102633331904	229.848962940109	217.813547904521	207.082392706712
"ARF5"	147.373528342858	111.012788887759	165.642049754363	275.183436109467	269.016050795374	286.416240157914	268.474075500295
"POLDIP2"	356.419674524847	393.867292081226	421.386093605879	469.050436108308	346.319513667608	380.744942006329	393.090028633538
"PLXND1"	8.0094308881988	10.6450619481412	2.7303634574895	17.7711416665605	27.8292466340042	6.86026922533926	28.405106964195
"AK2"	1272.69856813479	1424.91757791548	1415.23839213206	1379.68681665842	1273.96106813441	1615.5934025674	1361.61254673528
"CD38"	193.828227494411	156.634482951221	91.0121152496499	15.6170638887956	51.5356419148226	5.14520191900444	21.9910505529252
"FKBP4"	229.870666491306	313.268965902442	228.440409276621	345.729483331267	299.937435944268	320.71758628461	327.116876974762
"KDM1A"	224.264064869566	170.32099117026	177.473624736817	222.947049998668	248.401794029445	200.662874841173	184.175048380748
"RBM6"	344.405528192548	413.63669284206	328.553736051236	402.274024997596	370.025908948426	348.158663185967	371.098978080613
"RECQL"	104.122601546584	144.468697867631	76.4501768097059	60.3141777774173	44.3206520467474	68.6026922533926	54.0613326092744
"VPS50"	48.8575284180127	50.1838634698087	51.8769056923004	68.9304888884769	44.3206520467474	73.747894172397	68.7220329778912
"NDUFAB1"	1746.05593362734	1624.13230865926	1599.08286493635	1923.05293609962	1907.84946368673	2104.38758487282	2012.18112559266
"SLC25A13"	148.975414520498	171.841714305709	142.88902094195	217.561855554255	207.173280497587	234.96422096787	267.557781727256
"ST7"	24.8292357534163	42.580247792565	19.1125442024265	3.76963611108858	4.12285135318581	10.2904038380089	21.9910505529252
"CDC27"	286.737625797517	316.31041217334	274.856588053943	297.801252775998	266.954625118781	279.555970932575	249.231906266486
"HCCS"	233.074438846585	240.274255400902	236.63149964909	257.412294442906	246.340368352852	296.706643995923	266.641487954218
"DVL2"	113.733918612423	111.012788887759	114.675265214559	149.708405554661	133.992668978539	109.764307605428	109.955252764626
"UPF1"	143.368812898759	126.220020242246	134.697930569482	129.783186110335	139.146233170021	144.065653732124	151.188472551361
"SKAP2"	483.769625647208	486.6314033436	475.993362755669	500.284563885899	413.315848156877	505.94485536877	591.009483609865
"SLC25A5"	3927.82490757269	3614.75889296168	4290.3111128685	3759.94276108864	4355.79245464081	4301.38880428772	4385.3819977625
"MCUB"	620.730893835407	425.80247792565	617.062141392626	526.133497219078	520.509983339708	505.94485536877	570.851020603016
"POLR2J"	786.526113221122	844.001340174056	897.379456361548	789.469505550838	808.078865224418	967.297960772836	871.395378159661
"DHX33"	17.6207479540374	15.2072313544875	6.37084806747549	22.6178166665315	19.5835439276326	6.86026922533926	18.325875460771
"THSD7A"	14.4169755987578	12.16578508359	18.20242304993	14.5400249999131	17.5221182510397	12.0054711443437	13.7444065955782
"LIG3"	44.8528129739133	42.580247792565	44.5959364723285	38.2348805553271	49.4742162382297	29.1561442076919	40.3169260136962
"RPAP3"	250.695186800622	255.48148675539	245.732711174055	262.797488887318	251.493932544334	214.383413291852	262.060019089025
"ACSM3"	144.970699076398	25.8522933026287	91.0121152496499	68.9304888884769	137.084807493428	12.0054711443437	59.5590952475057
"REXO5"	43.2509267962735	34.9766321153212	51.8769056923004	39.3119194442095	80.3956013871233	51.4520191900444	71.4709142970069
"CIAPIN1"	334.79421112671	381.701506997636	402.273549403453	448.0481777751	434.960817761103	423.621624664699	426.076604462926
"SPPL2B"	31.2367804639753	31.9351858444237	45.506057624825	26.9259722220613	23.7063952808184	29.1561442076919	33.9028696024263
"FAM214B"	7.20848779937892	9.1243388126925	7.28096921997199	11.847427777707	20.614256765929	12.0054711443437	9.1629377303855
"MSL3"	101.719772280125	135.344359054939	92.8323575546429	104.472772221598	136.054094655132	97.7588364610844	111.787840310703
"CREBBP"	87.3027966813669	83.6397724496812	67.3489652847409	70.0075277773594	66.9963344892694	60.0273557217185	77.8849707082767
"GCFC2"	109.729203168324	130.782189648592	116.495507519552	105.54981111048	106.163422344535	92.61363454208	98.0434337151248
"WDR54"	294.747056685716	240.274255400902	380.430641743537	322.034627775853	320.551692710197	308.712115140267	248.315612493447
"CROT"	40.8480975298139	65.3910948242962	64.6186018272514	64.0838138885059	68.0270473275658	78.8930960914015	72.3872080700454
"ABCB4"	32.0377235527952	10.6450619481412	30.0339980323845	11.3089083332657	19.5835439276326	15.4356057570133	23.8236380990023
"KMT2E"	744.877072602489	875.93652601848	675.309895152402	625.759594440705	719.437561130924	648.29544179456	671.643335637257
"RHBDD2"	103.321658457765	63.8703716888475	87.3716306396639	102.318694443833	98.9484324764594	66.8876249470578	109.955252764626
"IBTK"	72.8858210826091	98.8470038041687	74.6299345047129	81.8549555550664	74.2113243573446	80.6081633977363	80.6338520273924
