"Ly1_cas9_1"	"Ly1_cas9_7"	"Ly1_cas9_9"	"Ly1_KO_E8"	"Ly1_het_F10"	"Ly1_het_F9"	"Ly1_KO_G1"	"Ly1_KO_H3"
"RBM5"	300.688619253754	331.173388915734	281.910664943915	260.639965877346	287.099743677887	267.13343355569	279.398813798249	275.137589331915
"ARF5"	519.261471000459	554.786189978495	583.957805955252	474.967871702106	424.157410257783	488.395469430101	415.163026136834	443.448014090824
"POLDIP2"	427.485024963169	451.471414803928	448.301546132617	465.274649830635	519.376420723816	522.574157898506	422.049616617777	484.949214716309
"AK2"	1437.02593137336	1406.77926744547	1448.76646232456	1493.83319285901	1431.17058155007	1644.17480316432	1407.81585403272	1584.73103129165
"CD38"	77.2854282419288	48.8268458016788	58.2897991425388	22.6175177001003	47.6095052330165	31.4803709577413	157.407782421548	48.4180673963985
"FKBP4"	167.854289462939	225.735707401964	185.46754272626	252.023768658261	339.037385750269	241.049697619276	266.609431476498	272.06342632262
"KDM1A"	136.457084239656	127.374380352206	120.818856404535	150.783451334002	193.323445491643	156.502415618485	149.537393300471	146.022742941519
"RBM6"	381.596801944524	505.251708730415	359.277125624012	333.877642239576	383.761466423709	372.367816471568	362.037899569561	319.712952966695
"RECQL"	55.5489015488863	54.4879293728879	59.3496136724031	49.5431340097435	20.1979719170373	44.971958511059	35.4167510448484	48.4180673963985
"VPS50"	74.8702586093685	69.3482737473119	85.8449769190117	49.5431340097435	63.4793403106886	73.7540119581367	75.7524952903702	74.5484529754072
"NDUFAB1"	2173.65266930425	2279.29377285808	2092.07388195221	2412.53522134403	2392.01695988913	2473.45771810824	2486.05916362033	2401.68985101183
"SLC25A13"	188.383231339701	175.493590707483	174.869397427616	312.337149191861	279.886182278945	279.725581938787	176.099956584107	250.544285257554
"ST7"	101.437124567532	109.683494192177	87.9646059787404	173.400969034102	96.6617227458214	152.005219767379	187.905540265723	163.699180244966
"CDC27"	346.5768422724	320.558857219717	343.379907676047	242.330546786789	235.162101605506	266.233994385469	241.030666832996	245.933040743611
"HCCS"	289.820355907233	322.681763558921	302.047141011337	275.718311010747	334.709248910904	333.691932152058	319.73455804377	325.861278985285
"DVL2"	159.401195748978	141.527089280228	191.826429905446	180.940141600802	191.880733211854	169.994003171803	156.423983781414	142.948579932224
"UPF1"	158.193610932698	190.353935081907	150.493663240737	127.088908981516	132.729529740531	112.429896277647	160.359178341952	164.46772099729
"SKAP2"	441.97604275853	430.242351411894	430.284699124923	261.716990529732	233.719389325717	390.356599875992	303.993779801615	344.306257041056
"SLC25A5"	4073.1835853129	4419.18336277513	4397.17048440715	4539.65890980585	4835.97156185064	4988.28963804666	4754.6988277709	4645.82884779728
"MCUB"	1527.59479259437	1551.1368985113	1651.19103752864	1754.47315873635	2120.78705128892	1806.07385380413	1550.46665685225	1739.20772250873
"POLR2J"	1348.87223978491	1331.06227468055	1486.91978539967	1463.67650259221	1239.28984833822	1533.54378522711	1129.40083887461	1354.93734634683
"DHX33"	10.8682633465212	15.5679798208251	13.7775888882364	11.847271176243	8.65627367873027	8.09495253199062	11.8055836816161	9.99102978020921
"THSD7A"	25.3592811418829	24.76724062404	31.7944358959302	16.1553697857859	10.0989859585186	17.9887834044236	14.7569796020202	19.9820595604184
